"","Col_3-OH10_000","Col_3-OH10_005","Col_3-OH10_010","Col_3-OH10_030","Col_3-OH10_090","Col_3-OH10_180","Col_3-OH10_0001","Col_3-OH10_0051","Col_3-OH10_0101","Col_3-OH10_0301","Col_3-OH10_0901","Col_3-OH10_1801","Col_3-OH10_0002","Col_3-OH10_0052","Col_3-OH10_0102","Col_3-OH10_0302","Col_3-OH10_0902","Col_3-OH10_1802","Col_3-OH10_0003","Col_3-OH10_0103","Col_3-OH10_0303","Col_3-OH10_0903","Col_3-OH10_1803"
"V32",-0.498585916759856,-0.524590690066247,-0.528828205821454,-0.560188841239346,-0.479611243326633,-0.507051416857572,-0.51820165573556,-0.511249470394714,-0.505302353496808,-0.511249470394714,-0.472053358546367,-0.491014957082307,-0.535506843318446,-0.513412722791854,-0.544666505699332,-0.517550616647237,-0.468383657009591,-0.457078370970678,-0.564538729744986,-0.571117659576795,-0.593312570880947,-0.494599878627516,-0.509129539213552
"V20",-0.407744081630214,-0.457078370970678,-0.446513748372004,-0.421154905315824,-0.344790662758666,-0.376920179205089,-0.429130559945028,-0.425300713245043,-0.40959356813937,-0.418344076487404,-0.339278424212399,-0.341594240685872,-0.436900988822638,-0.444942913601667,-0.475867327950008,-0.432049392226109,-0.313965717590374,-0.313710070996601,-0.444167529988515,-0.502450824139713,-0.487067586090371,-0.368541654643522,-0.355653006923106
"V18",-0.421752248867333,-0.470609648659682,-0.460699062168304,-0.474792840607096,-0.394361008462836,-0.388456182875845,-0.455144962571854,-0.432049392226109,-0.438627071348841,-0.455144962571854,-0.389019319928623,-0.389667826891596,-0.451060931187285,-0.447950947289858,-0.478052324723513,-0.463698959870412,-0.401577304293115,-0.361789408255126,-0.472888089415761,-0.481652429644801,-0.501331754830572,-0.435487609154635,-0.39007584245179
"V17",-0.444167529988515,-0.477611416867196,-0.464848790278461,-0.473518876334777,-0.408253730785341,-0.38773797019725,-0.478940112950846,-0.454624540626931,-0.449084545223164,-0.460514685764286,-0.395753848547165,-0.395315999431386,-0.493304993802617,-0.453763578216721,-0.494079948958968,-0.458871308900381,-0.38853638702842,-0.366342863234997,-0.468784578389134,-0.499949710501809,-0.506173232709392,-0.442788290710199,-0.415066559716548
"V3433",-0.421512814204396,-0.473730050545162,-0.478273522229727,-0.436332948541796,-0.359284059254147,-0.349800346191507,-0.472469827112275,-0.442788290710199,-0.436758639834839,-0.455319083694573,-0.337965517749488,-0.319609556332225,-0.470814579617862,-0.43313518797092,-0.448921744172293,-0.472469827112275,-0.322106066465869,-0.292957631832377,-0.431780013712942,-0.494079948958968,-0.541395411216222,-0.390733041337321,-0.333709292203358
"V3456",-0.413746483908486,-0.437472661450973,-0.422838005450152,-0.4101146601958,-0.38089427908909,-0.363045795413225,-0.428869953246788,-0.419855168192446,-0.425927461815616,-0.421393345905663,-0.353649128780891,-0.33212252484905,-0.426685562705311,-0.406533503015568,-0.450232284186358,-0.436474620335815,-0.343988965475949,-0.321051790093025,-0.415288585490681,-0.446513748372004,-0.488040021961366,-0.409489737817556,-0.346651290172826
"V3457",-0.343812037071794,-0.388296017239746,-0.386711912237029,-0.355757271160867,-0.302165242292612,-0.274671414246926,-0.37916608472315,-0.353750559294545,-0.366584021836675,-0.382885454113132,-0.28698981778023,-0.262744012772329,-0.389019319928623,-0.361056878884588,-0.388938627038325,-0.38538993615631,-0.272356405430516,-0.246671269100972,-0.347530306283587,-0.395666088775609,-0.437043564828842,-0.323801925819457,-0.272096800315782
"V3434",-0.852779972603898,-0.961397641412549,-0.966883967171191,-0.8560545381586,-0.693573974265083,-0.609941069041533,-0.972504046919879,-0.862771232319829,-0.917252231449845,-1.01610673953216,-0.68480407761499,-0.658171243977545,-0.90431974429663,-0.90431974429663,-1.05281651966981,-1.03015335608604,-0.639241282809555,-0.55194584637283,-0.917252231449845,-1.22233704546063,-1.25244855004165,-0.743307608826077,-0.62738650776875
"V3471",-0.447790141019843,-0.486344391769591,-0.487309813967204,-0.47163867007868,-0.426179430124726,-0.398704549770156,-0.466993454195986,-0.455144962571854,-0.46581768111933,-0.508233881402148,-0.429000159826746,-0.421632448387274,-0.473730050545162,-0.450067443761883,-0.503298113532658,-0.501331754830572,-0.417884442988848,-0.369728510632612,-0.482111797182877,-0.506757870454286,-0.529188837662414,-0.460147008964815,-0.419972516924137
"V19",-0.419504081949608,-0.497776224280348,-0.478052324723513,-0.474792840607096,-0.370934274548257,-0.363045795413225,-0.465428944993137,-0.438627071348841,-0.440239012942604,-0.461999857180401,-0.368541654643522,-0.402335312000939,-0.470405151077176,-0.436616517220139,-0.488284607863101,-0.462940049063394,-0.370170510905645,-0.382364330095508,-0.475651483708101,-0.528828205821454,-0.50559184155557,-0.425676220452601,-0.414514025399924
